scheduler,topology,comm_plan,workload,placement_mode,placement_objective,job_id,model,ranks,trace_start_s,sim_start_s,sim_finish_s,jct_s,comm_s,compute_wait_s,compute_s,tensor_gib,intensity,placement
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,0,synthetic,16,159.880443,159.880443,172.132417,12.251974,11.261930,0.000000,0.330015,8.594861,27964405134.098450,0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,1,synthetic,16,235.849486,235.849486,262.268087,26.418600,24.932973,0.000000,0.495209,9.277925,20116950358.263126,0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,2,synthetic,16,383.423858,383.423858,388.739391,5.315533,1.518706,0.000000,1.265609,0.716645,608001173.609735,1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,3,synthetic,16,82.628886,82.628886,103.218221,20.589335,19.692085,0.000000,0.299084,9.096861,32658700195.001358,2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,4,synthetic,16,0.000000,0.000000,25.389374,25.389374,24.538873,0.000000,0.283500,9.638824,36506519330.634674,3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,5,synthetic,16,389.990855,389.990855,396.030911,6.040056,1.065573,0.000000,1.658161,0.797007,516101780.945749,4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,6,synthetic,16,118.689785,118.689785,136.109196,17.419411,16.320069,0.000000,0.366447,10.371652,30390390190.311924,5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,7,synthetic,16,194.093670,194.093670,206.353315,12.259645,10.975916,0.000000,0.427910,10.470158,26272467870.272526,6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,8,synthetic,16,369.710183,369.710183,375.660258,5.950075,2.073532,0.000000,1.292181,1.515434,1259254399.633792,7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,9,synthetic,16,0.000000,0.000000,26.951342,26.951342,25.938036,0.000000,0.337768,10.753814,34185608902.838707,7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,10,synthetic,16,38.109091,38.109091,71.140338,33.031247,32.023017,0.000000,0.336077,11.256473,35963653528.793274,0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,11,synthetic,16,379.444591,379.444591,385.470906,6.026315,2.510804,0.000000,1.171837,1.348916,1235997695.369468,1:5;2:0;2:3;2:6;3:1;3:4;3:7;4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,12,synthetic,16,300.517176,300.517176,314.086915,13.569739,12.110903,0.000000,0.486278,9.244129,20411778123.156746,2:4;2:7;3:2;3:5;4:0;4:3;4:6;5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,13,synthetic,16,235.849486,235.849486,260.878868,25.029382,23.935513,0.000000,0.364623,8.787376,25877072630.473759,3:3;3:6;4:1;4:4;4:7;5:2;5:5;6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,14,synthetic,16,402.806621,402.806621,406.930636,4.124015,0.567968,0.000000,1.185349,0.520569,471554361.091303,4:2;4:5;5:0;5:3;5:6;6:1;6:4;6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,15,synthetic,16,83.994347,83.994347,105.391616,21.397269,20.238729,0.000000,0.386180,10.068517,27994678241.121250,5:1;5:4;5:7;6:2;6:5;7:0;7:3;7:6;0:1;0:4;0:7;1:2;1:5;2:0;2:3;2:6
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,16,synthetic,16,337.708920,337.708920,357.930309,20.221389,18.753565,0.000000,0.489275,8.743782,19188741088.109432,6:0;6:3;6:6;7:1;7:4;7:7;0:2;0:5;1:0;1:3;1:6;2:1;2:4;2:7;3:2;3:5
priority_only,three_tier_clos,ring,synthetic,optimize,balanced,17,synthetic,16,388.174298,388.174298,393.152044,4.977746,1.247065,0.000000,1.243560,0.935807,808014853.340134,6:7;7:2;7:5;0:0;0:3;0:6;1:1;1:4;1:7;2:2;2:5;3:0;3:3;3:6;4:1;4:4
